AKST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2014-7-3,18,14,12,13,12,11,97,85,72,1012,1011,1009,16,16,13,24,6,,0.25,6,,258<br />
2014-7-4,15,13,11,11,11,10,96,88,75,1013,1012,1011,16,14,3,14,3,,1.78,7,中雨,255<br />
2014-7-5,21,15,10,11,10,8,96,72,49,1012,1010,1009,16,16,16,21,8,,0.00,6,,110<br />
2014-7-6,17,14,13,11,10,8,80,71,58,1020,1018,1012,16,16,16,32,16,47,0.00,6,中雨,213<br />
2014-7-7,16,14,13,13,12,11,96,87,75,1019,1018,1017,16,15,6,26,6,40,3.56,8,中雨,211<br />
2014-7-8,13,12,12,12,12,11,100,94,86,1019,1018,1017,16,10,3,19,8,37,21.34,8,中雨,159<br />
2014-7-9,14,13,12,13,12,11,100,96,83,1024,1022,1020,16,11,2,14,8,,3.30,8,中雨,201<br />
2014-7-10,16,13,12,12,11,11,100,90,75,1024,1022,1017,16,13,2,13,5,,0.76,8,中雨,215<br />
2014-7-11,14,13,12,13,12,11,100,94,84,1016,1016,1015,16,8,3,19,8,,32.51,8,中雨,250<br />
2014-7-12,15,13,13,14,13,13,100,97,93,1022,1018,1015,16,9,3,24,11,42,8.13,8,中雨,275<br />
2014-7-13,14,13,13,14,13,13,100,98,94,1024,1023,1022,16,8,1,13,6,,7.37,8,中雨,291<br />
2014-7-14,16,14,13,14,13,11,100,94,83,1024,1024,1023,16,11,0,26,6,,0.25,8,雾,307<br />
2014-7-15,18,14,13,12,11,9,93,78,64,1025,1024,1024,16,16,16,27,19,,0.00,6,,318<br />
2014-7-16,16,13,11,11,9,8,89,76,64,1025,1024,1021,16,16,16,24,10,,0.00,6,,294<br />
2014-7-17,15,13,11,11,10,9,93,84,75,1021,1017,1010,16,15,10,14,5,,2.79,7,中雨,232<br />
2014-7-18,17,13,11,12,11,10,100,84,67,1009,1005,1004,16,16,11,16,8,,1.27,6,中雨,299<br />
2014-7-19,16,14,12,13,12,11,97,88,75,1013,1010,1005,16,14,4,14,3,,0.00,8,,292<br />
2014-7-20,14,13,11,12,11,10,94,89,77,1013,1011,1008,16,13,3,21,6,,7.87,8,中雨,155<br />
2014-7-21,21,16,11,12,11,10,97,77,52,1015,1012,1008,16,16,16,21,6,,0.00,5,,297<br />
2014-7-22,17,15,13,13,12,11,90,84,77,1020,1017,1015,16,16,16,14,5,,0.00,6,中雨,240<br />
2014-7-23,17,14,13,12,11,10,87,80,72,1019,1017,1014,16,16,16,13,5,,0.00,7,,230<br />
2014-7-24,15,14,12,12,11,11,94,84,78,1014,1013,1012,16,15,5,27,6,45,1.52,8,中雨,207<br />
2014-7-25,14,13,12,13,12,11,100,92,81,1013,1011,1010,16,13,4,21,5,,13.46,8,中雨,141<br />
2014-7-26,14,13,12,14,13,12,100,96,93,1014,1013,1011,16,12,2,24,8,39,14.48,8,中雨,216<br />
2014-7-27,16,14,13,13,12,12,100,92,78,1019,1017,1015,16,14,3,21,8,,7.62,8,中雨,213<br />
2014-7-28,15,13,12,14,12,11,97,94,90,1018,1016,1014,16,13,3,14,5,,15.49,8,中雨,261<br />
2014-7-29,16,13,11,12,11,9,96,89,75,1020,1016,1014,16,14,5,23,6,,6.35,6,中雨,153<br />
2014-7-30,16,14,12,13,12,11,97,88,78,1026,1024,1021,16,16,13,13,6,,2.03,7,中雨,160<br />
2014-7-31,19,14,10,13,11,9,100,86,65,1026,1026,1025,16,14,5,16,6,,0.00,3,,217<br />
2014-8-1,21,16,11,13,12,9,93,79,63,1025,1023,1021,16,16,16,16,6,,0.00,1,,298<br />
2014-8-2,19,14,11,13,12,11,97,86,68,1021,1020,1019,16,14,1,14,6,,0.00,2,雾,266<br />
2014-8-3,18,14,11,14,12,9,93,83,75,1020,1019,1014,16,16,16,14,8,,0.00,7,,317<br />
2014-8-4,18,16,14,15,13,11,96,85,75,1017,1015,1012,16,15,11,37,13,58,2.03,6,中雨,208<br />
2014-8-5,19,14,12,13,12,10,94,82,70,1019,1017,1016,16,16,6,21,10,29,0.76,7,中雨,178<br />
2014-8-6,17,15,13,13,12,10,96,86,72,1021,1020,1019,16,14,3,16,8,,10.92,7,中雨,135<br />
2014-8-7,17,13,10,12,11,9,93,80,67,1019,1015,1013,16,16,16,16,6,,0.00,5,,329<br />
2014-8-8,18,14,13,13,12,11,93,84,70,1016,1015,1014,16,15,5,19,6,26,5.08,8,中雨,133<br />
2014-8-9,16,15,14,14,12,10,97,81,69,1013,1010,1008,16,11,5,27,16,40,31.50,8,中雨,125<br />
2014-8-10,17,16,14,16,15,13,100,95,86,1015,1011,1008,16,6,2,26,13,35,96.52,8,中雨,148<br />
2014-8-11,18,17,15,17,15,14,100,96,90,1015,1013,1010,16,10,1,26,8,45,12.70,8,雾-中雨,290<br />
2014-8-12,18,16,14,15,14,12,100,91,75,1016,1013,1010,16,13,3,34,19,47,1.02,8,中雨,209<br />
2014-8-13,16,14,13,14,13,12,97,92,84,1016,1015,1014,16,11,3,14,6,,7.11,8,中雨,126<br />
2014-8-14,18,16,14,14,14,13,100,92,80,1016,1015,1013,16,12,3,23,10,35,10.67,7,中雨,150<br />
2014-8-15,17,14,13,15,13,12,100,93,80,1019,1014,1011,16,11,2,23,6,,30.48,7,中雨,210<br />
2014-8-16,17,14,11,13,12,10,96,85,75,1021,1020,1019,16,16,11,26,11,34,1.52,5,中雨,141<br />
2014-8-17,17,14,13,15,13,11,97,89,81,1018,1015,1012,16,8,2,39,19,61,57.40,8,中雨,153<br />
2014-8-18,17,14,13,13,13,12,97,91,75,1017,1016,1015,16,12,3,23,10,,11.68,8,中雨,201<br />
2014-8-19,17,14,11,13,12,9,100,88,67,1016,1016,1015,16,15,6,14,5,,2.29,7,雾-中雨,276<br />
2014-8-20,19,13,9,12,11,8,97,83,61,1016,1015,1015,16,16,16,13,3,,0.00,0,,165<br />
2014-8-21,21,16,10,14,12,9,100,82,61,1022,1020,1017,16,16,16,26,6,,0.00,0,,280<br />
2014-8-22,18,16,13,13,12,12,94,85,67,1024,1023,1022,16,16,16,16,11,,0.00,5,中雨,324<br />
2014-8-23,18,15,13,13,12,12,97,85,72,1022,1021,1021,16,16,14,23,8,,0.25,6,中雨,328<br />
2014-8-24,14,13,13,13,13,12,100,94,87,1021,1016,1011,16,12,3,24,8,,6.60,8,中雨,138<br />
2014-8-25,15,13,12,14,14,12,100,98,87,1014,1013,1011,16,10,2,19,10,,5.59,8,中雨,176<br />
2014-8-26,14,13,12,13,12,10,100,94,84,1016,1014,1013,16,13,2,27,11,37,18.54,8,中雨,142<br />
2014-8-27,17,13,11,12,11,10,100,93,75,1020,1018,1016,16,15,10,11,8,,0.51,6,中雨,122<br />
2014-8-28,16,13,10,10,9,8,96,79,62,1018,1012,1005,16,16,16,23,11,34,0.00,6,中雨,125<br />
2014-8-29,15,12,11,12,10,8,100,83,67,1004,1000,998,16,15,8,23,16,34,10.41,8,中雨,112<br />
2014-8-30,16,12,9,13,11,9,100,94,83,1007,1005,1000,16,15,6,19,5,32,3.30,7,中雨,147<br />
2014-8-31,13,11,10,12,11,10,100,97,89,1007,1005,1004,16,13,6,19,10,,13.97,8,中雨,97<br />
2014-9-1,14,12,9,12,11,9,100,94,77,1014,1008,1005,16,13,3,14,6,,8.89,7,中雨,215<br />
2014-9-2,17,12,9,12,11,9,100,92,69,1019,1017,1014,16,16,10,16,6,,0.25,6,中雨,112<br />
2014-9-3,14,12,11,13,12,10,100,95,83,1022,1021,1019,16,14,4,21,6,,1.78,8,中雨,120<br />
2014-9-4,14,12,11,14,12,11,100,98,87,1022,1021,1020,16,10,2,21,8,32,11.18,8,中雨,152<br />
2014-9-5,16,13,12,14,13,10,100,96,78,1024,1023,1022,16,9,2,26,18,37,2.54,8,中雨,185<br />
2014-9-6,14,13,12,14,13,10,100,99,80,1021,1014,1012,16,5,1,23,13,39,87.38,8,中雨,173<br />
2014-9-7,14,12,10,13,12,10,100,98,87,1015,1012,1011,16,12,2,19,6,,4.83,8,雾-中雨,274<br />
2014-9-8,14,10,8,12,10,8,100,96,83,1020,1017,1015,16,13,0,13,3,,0.00,4,,152<br />
2014-9-9,14,11,8,12,10,8,100,93,77,1024,1023,1021,16,16,16,10,3,,0.00,3,,86<br />
2014-9-10,17,13,10,12,9,6,94,77,48,1024,1023,1022,16,14,5,21,8,,1.02,7,中雨,91<br />
2014-9-11,14,13,12,13,12,11,100,97,90,1028,1025,1023,16,9,3,16,8,,7.11,8,中雨,223<br />
2014-9-12,15,13,12,12,11,11,100,90,81,1028,1026,1023,16,16,13,11,3,,0.25,8,中雨,148<br />
2014-9-13,16,14,13,13,13,12,97,93,86,1023,1021,1018,16,15,5,11,3,,0.00,7,,210<br />
2014-9-14,14,13,12,12,12,11,100,92,83,1018,1016,1013,16,15,4,13,5,,0.00,8,中雨,154<br />
2014-9-15,16,13,12,14,12,11,100,93,81,1014,1013,1011,16,15,10,13,6,,1.02,8,中雨,175<br />
2014-9-16,17,14,12,14,13,11,100,95,75,1012,1011,1009,16,9,2,23,10,,3.30,7,中雨,317<br />
2014-9-17,14,11,9,11,9,8,100,88,72,1010,1006,999,16,16,16,13,3,,0.00,5,,74<br />
2014-9-18,16,14,13,12,10,7,89,76,62,998,990,986,16,12,3,45,26,72,19.30,8,中雨,139<br />
2014-9-19,15,13,12,12,11,9,100,88,75,1011,1002,991,16,11,3,45,27,64,21.34,8,中雨,173<br />
2014-9-20,16,13,11,13,11,8,100,90,72,1008,1005,998,16,14,5,35,13,48,7.37,8,中雨,185<br />
2014-9-21,18,14,11,13,11,9,100,84,58,1004,996,990,16,14,4,55,19,80,19.81,8,中雨,147<br />
2014-9-22,14,11,8,11,9,8,97,89,72,1011,1008,1004,16,15,6,24,13,34,23.11,7,中雨,115<br />
2014-9-23,17,12,8,9,9,8,100,87,62,1011,1006,999,16,16,16,13,5,,0.00,4,,336<br />
2014-9-24,17,13,9,9,7,5,89,67,46,1004,1000,998,16,16,16,11,5,,0.00,6,,29<br />
2014-9-25,14,13,12,12,11,7,97,89,62,1010,1007,1004,16,14,5,23,6,34,11.94,8,中雨,329<br />
2014-9-26,17,14,11,12,11,9,100,86,64,1010,1009,1008,16,16,16,21,8,,0.00,7,中雨,343<br />
2014-9-27,16,13,11,12,11,9,100,81,64,1008,1005,998,16,15,10,29,19,47,7.87,8,中雨,128<br />
2014-9-28,14,12,10,12,11,9,100,91,77,1002,1000,998,16,12,3,27,18,37,18.80,8,中雨,125<br />
2014-9-29,14,10,7,11,9,7,100,93,83,1010,1006,1002,16,16,14,13,6,,0.76,6,中雨,132<br />
2014-9-30,12,9,7,10,7,3,100,84,59,1016,1011,1008,16,14,4,47,13,58,11.43,8,中雨,237<br />
2014-10-1,12,8,3,9,3,-4,100,74,32,1025,1019,1010,16,15,8,47,10,58,2.79,4,中雨,23<br />
2014-10-2,13,8,4,7,1,-3,76,62,41,1023,1011,999,16,16,11,47,18,66,3.56,6,中雨,103<br />
2014-10-3,14,12,11,12,11,7,100,90,69,1004,998,996,16,9,3,52,31,80,34.80,8,中雨,170<br />
2014-10-4,13,11,10,12,9,6,100,91,66,1016,1011,1005,16,12,4,32,18,39,4.32,7,中雨,181<br />
2014-10-5,13,11,9,11,8,2,96,78,59,1013,1006,998,16,15,3,42,24,64,5.84,7,中雨,184<br />
2014-10-6,9,8,6,6,5,4,97,88,71,1019,1017,1014,16,15,8,21,11,,3.81,7,中雨,105<br />
2014-10-7,8,6,3,6,4,3,100,91,79,1018,1016,1014,16,15,6,19,8,,4.06,7,中雨,68<br />
2014-10-8,9,6,2,5,3,2,100,87,61,1016,1013,1007,16,16,16,14,6,,0.51,5,中雨,12<br />
2014-10-9,13,9,6,12,9,5,100,90,77,1007,1000,991,16,11,5,39,18,48,29.97,8,中雨,127<br />
2014-10-10,12,11,9,11,10,8,100,95,86,995,994,991,16,10,3,42,23,66,36.83,8,中雨,141<br />
2014-10-11,11,10,9,11,9,8,100,97,88,1008,1002,993,16,10,2,26,16,48,23.62,8,中雨-雷暴,172<br />
2014-10-12,12,10,8,10,8,6,100,94,69,1009,1002,996,16,12,4,29,13,34,11.43,8,中雨,142<br />
2014-10-13,12,7,4,7,6,3,100,86,61,1002,992,983,16,15,4,39,13,48,3.05,5,中雨,77<br />
2014-10-14,11,9,8,4,3,2,74,66,59,996,994,990,16,16,16,29,21,42,0.00,4,中雨,108<br />
2014-10-15,12,11,9,6,4,2,74,65,56,997,994,991,16,16,16,34,21,50,0.00,5,中雨,119<br />
2014-10-16,11,9,8,7,5,3,93,74,63,1002,1000,997,16,16,14,32,21,40,2.29,7,中雨,115<br />
2014-10-17,13,8,3,7,4,3,97,83,55,1000,992,988,16,16,16,23,3,,1.52,4,中雨,58<br />
2014-10-18,11,9,7,8,7,5,100,88,69,993,990,987,16,15,5,27,13,37,10.67,8,中雨,113<br />
2014-10-19,11,9,7,8,7,7,100,92,80,990,985,980,16,13,3,23,14,,12.95,8,中雨,115<br />
2014-10-20,10,7,6,9,7,4,100,91,80,994,991,987,16,14,5,19,13,,6.86,7,中雨,116<br />
2014-10-21,11,9,8,6,4,2,79,71,59,993,985,982,16,16,16,34,19,50,0.00,6,中雨,113<br />
2014-10-22,10,7,4,6,5,3,100,83,66,995,990,982,16,15,8,37,24,55,6.35,6,中雨,110<br />
2014-10-23,9,7,4,6,4,3,96,80,66,1007,1000,993,16,16,16,21,10,,0.00,4,,84<br />
2014-10-24,8,5,2,6,4,2,97,90,76,1010,1009,1008,16,16,14,14,5,,1.27,4,中雨,30<br />
2014-10-25,10,6,3,6,4,3,100,90,77,1009,1006,1004,16,16,16,19,6,,0.00,1,,6<br />
2014-10-26,8,6,3,6,4,3,100,95,79,1013,1011,1007,16,16,11,13,5,,4.06,6,中雨,98<br />
2014-10-27,10,7,3,6,3,1,100,85,57,1012,1007,1000,16,16,14,24,8,,3.30,4,中雨,62<br />
2014-10-28,7,5,3,4,2,-1,96,80,60,1001,997,994,16,16,16,10,2,,0.25,7,中雨,66<br />
2014-10-29,10,7,6,4,3,2,92,74,66,1007,1004,1000,16,16,16,26,16,,0.51,8,中雨,116<br />
2014-10-30,9,7,4,7,4,3,100,93,69,999,998,997,16,15,3,34,18,48,9.91,7,中雨,114<br />
2014-10-31,6,5,4,4,3,3,97,89,80,1000,999,995,16,12,2,34,19,45,32.51,8,中雨,114<br />
2014-11-1,8,7,5,6,5,4,96,90,85,998,996,993,16,12,5,37,26,53,33.53,8,中雨,115<br />
2014-11-2,8,6,4,5,4,3,100,90,74,1010,1005,998,16,15,5,40,19,55,10.92,7,中雨,119<br />
2014-11-3,8,5,2,4,2,-2,100,81,50,1010,996,987,16,14,8,26,13,39,9.14,7,中雨,97<br />
2014-11-4,7,5,3,5,4,2,100,91,74,1013,1004,993,16,14,4,42,21,58,25.40,8,中雨-雷暴,143<br />
2014-11-5,7,4,2,3,2,-1,100,85,58,1013,998,985,16,15,11,32,16,40,10.41,7,中雨,50<br />
2014-11-6,8,4,2,4,3,2,100,89,68,1011,1005,997,16,15,6,24,14,39,4.06,6,中雨,104<br />
2014-11-7,10,9,7,6,3,1,86,68,63,1015,1012,1009,16,16,11,37,26,55,5.33,7,中雨,110<br />
2014-11-8,9,6,3,6,5,3,100,90,80,1019,1016,1015,16,13,4,29,18,37,16.76,6,中雨,96<br />
2014-11-9,7,4,2,4,4,2,100,94,82,1027,1024,1019,16,16,11,10,3,,0.00,4,中雨,85<br />
2014-11-10,7,4,2,6,4,1,100,96,89,1028,1027,1026,16,16,16,14,6,,0.25,5,中雨,93<br />
2014-11-11,7,3,1,3,1,0,100,93,73,1027,1026,1026,16,16,16,10,3,,0.00,0,,67<br />
2014-11-12,6,2,-1,2,-1,-3,100,88,65,1027,1024,1022,16,16,16,10,3,,0.00,0,,88<br />
2014-11-13,6,2,-2,1,-2,-3,92,83,60,1022,1021,1020,16,16,16,11,5,,0.00,0,,90<br />
2014-11-14,6,2,-2,0,-2,-3,96,83,56,1026,1024,1022,16,16,16,10,2,,0.00,1,,102<br />
2014-11-15,6,2,-2,1,-2,-3,92,79,65,1029,1028,1026,16,16,16,11,2,,0.00,0,,21<br />
2014-11-16,6,3,1,5,1,-3,96,80,58,1029,1028,1027,16,15,10,16,8,,1.27,7,中雨,348<br />
2014-11-17,7,5,3,6,6,3,100,98,89,1027,1024,1014,16,9,2,16,8,,2.29,7,中雨,343<br />
2014-11-18,11,9,6,8,4,-2,100,72,41,1013,1009,1007,16,15,8,42,23,60,14.99,6,中雨,110<br />
2014-11-19,8,7,4,8,7,4,100,97,86,1010,1009,1006,16,15,6,21,10,,7.62,8,中雨,329<br />
2014-11-20,7,4,1,5,3,1,100,98,89,1006,1000,991,16,11,0,13,5,,0.25,6,雾-中雨,41<br />
2014-11-21,9,7,4,6,3,1,93,81,56,990,987,982,16,13,3,34,21,50,10.16,7,中雨,121<br />
2014-11-22,6,4,3,4,3,3,97,91,80,1000,994,990,16,13,3,23,14,,22.35,7,中雨,103<br />
2014-11-23,6,4,3,4,3,2,100,94,82,1008,1005,1000,16,14,3,24,10,,12.45,7,中雨,103<br />
2014-11-24,6,5,4,5,4,2,100,92,82,1017,1009,1003,16,15,5,26,13,32,7.62,7,中雨,141<br />
2014-11-25,4,2,0,4,3,0,100,99,93,1023,1021,1017,16,15,6,21,10,,5.08,6,中雨,89<br />
2014-11-26,4,1,-2,2,-1,-4,100,95,73,1023,1019,1013,16,15,4,11,5,,0.00,1,,65<br />
2014-11-27,2,0,-2,-7,-13,-16,54,38,32,1017,1013,1012,16,16,16,40,19,64,0.00,0,,31<br />
2014-11-28,0,-2,-4,-8,-14,-21,66,42,24,1023,1021,1018,16,16,16,16,5,,0.00,2,,74<br />
2014-11-29,2,0,-2,2,-1,-8,100,86,59,1020,1019,1017,16,14,3,16,5,,3.81,8,中雨-中雪,86<br />
2014-11-30,3,1,0,2,1,0,100,98,93,1017,1012,1010,16,13,3,19,11,,26.67,7,中雨,91<br />
2014-12-1,2,1,-1,2,0,-1,100,96,81,1016,1014,1011,16,15,4,16,5,,2.29,7,中雨-中雪,96<br />
2014-12-2,7,4,2,7,5,2,100,96,89,1016,1015,1013,16,11,5,34,13,37,29.21,8,中雨,166<br />
2014-12-3,4,1,-2,4,2,-2,100,99,93,1015,1014,1013,16,16,10,23,6,29,1.27,4,中雨,94<br />
2014-12-4,3,0,-2,0,-1,-3,100,87,70,1014,1011,1009,16,16,11,16,6,,0.00,1,,5<br />
2014-12-5,4,2,0,1,-1,-3,79,76,70,1009,1006,1001,16,16,16,19,8,,0.00,5,,343<br />
2014-12-6,7,4,3,4,3,1,100,97,74,1010,1005,1000,16,14,5,23,6,,8.38,8,中雨,13<br />
2014-12-7,10,9,7,4,3,2,74,64,59,1009,1001,993,16,16,16,40,31,63,0.76,6,中雨,117<br />
2014-12-8,11,9,7,6,4,2,86,67,57,992,984,978,16,15,10,40,31,63,6.60,7,中雨,120<br />
2014-12-9,7,6,5,6,5,4,100,95,81,986,978,973,16,14,8,24,13,,19.05,7,中雨,114<br />
2014-12-10,7,4,2,6,3,2,100,91,71,987,979,973,16,16,16,26,8,40,0.00,6,中雨,46<br />
2014-12-11,8,6,4,5,4,2,100,86,68,991,984,977,16,16,14,19,8,,1.02,6,中雨,52<br />
2014-12-12,6,4,3,5,4,3,100,98,89,1010,1000,991,16,13,6,19,6,,16.00,8,中雨,103<br />
2014-12-13,8,6,4,3,3,2,96,81,66,1014,1012,1010,16,16,13,32,19,40,1.52,8,中雨,110<br />
2014-12-14,9,8,8,2,2,1,68,62,56,1011,1006,1001,16,16,16,45,37,66,1.78,8,中雨,116<br />
2014-12-15,10,9,6,3,1,-3,82,60,41,1002,998,995,16,16,13,42,34,60,1.52,8,中雨,117<br />
2014-12-16,7,4,3,3,2,1,93,85,71,1005,1001,1000,16,14,6,29,16,39,9.91,7,中雨,119<br />
2014-12-17,6,3,1,1,0,-2,96,75,58,1007,1005,1001,16,16,16,29,13,40,0.00,6,,81<br />
2014-12-18,7,6,5,1,-1,-3,67,60,55,1000,992,988,16,16,16,34,23,48,0.00,7,中雨,112<br />
2014-12-19,8,7,6,2,1,-1,74,65,60,991,987,982,16,16,16,34,24,50,0.25,6,中雨,117<br />
2014-12-20,8,7,5,4,2,1,93,72,59,986,980,976,16,16,11,34,24,48,1.78,8,中雨,117<br />
2014-12-21,6,4,3,4,3,3,100,94,85,1009,997,987,16,16,14,16,10,,2.79,7,中雨,85<br />
2014-12-22,7,6,4,5,3,0,97,85,67,1019,1015,1006,16,15,6,37,13,35,3.81,7,中雨,130<br />
2014-12-23,7,6,4,1,-1,-3,73,63,51,1004,997,993,16,16,16,29,11,42,0.00,5,中雨,2<br />
2014-12-24,4,1,-1,3,1,-3,100,94,82,1013,1011,1004,16,15,6,16,8,,7.87,7,中雨,89<br />
2014-12-25,4,3,3,4,3,2,100,95,83,1020,1016,1011,16,12,5,19,13,,15.49,8,中雨,97<br />
2014-12-26,4,3,2,4,2,2,100,97,89,1022,1018,1014,16,14,4,16,6,32,6.10,8,中雨,96<br />
2014-12-27,4,1,-2,2,-1,-4,97,83,65,1033,1025,1017,16,16,16,23,11,,0.25,1,,11<br />
2014-12-28,3,0,-3,-3,-8,-12,92,58,37,1042,1038,1033,16,16,16,26,8,37,0.00,0,,99<br />
2014-12-29,3,0,-2,-5,-8,-11,75,54,39,1042,1041,1039,16,16,16,37,16,48,0.00,1,,70<br />
2014-12-30,7,3,-1,5,-1,-7,96,69,52,1042,1040,1038,16,14,5,24,10,35,2.79,7,中雨,106<br />
2014-12-31,7,6,5,6,6,4,100,100,93,1037,1029,1022,16,5,1,16,8,,21.08,8,雾-中雨,111<br />
